seq_id,prep,samplename,seq_count
EBV-1-1,NTC (Corrected),NTC4 (Corrected),843.6913414000394
EBV-1-1,NTC (Corrected),NTC5 (Corrected),998.1068343129102
EBV-1-1,NTC (Corrected),NTC6 (Corrected),1033.4025581815285
EBV-1-1,NTT (Corrected),NTT4 (Corrected),505.4842061288068
EBV-1-1,NTT (Corrected),NTT5 (Corrected),701.1214434499238
EBV-1-1,NTT (Corrected),NTT6 (Corrected),509.41347761599894
EBV-1-1,MTT (Corrected),MTT1 (Corrected),965.4741146593914
EBV-1-1,MTT (Corrected),MTT2 (Corrected),1319.9785659134584
EBV-1-1,MTT (Corrected),MTT3 (Corrected),1255.3926453889596
EBV-1-1,NTTR (Corrected),NTTR1 (Corrected),7463.003468115201
EBV-1-1,NTTR (Corrected),NTTR2 (Corrected),2235.964699791997
EBV-1-1,NTTR (Corrected),NTTR3 (Corrected),10635.928682028041
EBV-1-1,NTC (Corrected),NTC (Corrected),951.8078007120641
EBV-1-1,NTT (Corrected),NTT (Corrected),568.2029193250897
EBV-1-1,MTT (Corrected),MTT (Corrected),1201.4474612166814
EBV-1-1,NTTR (Corrected),NTTR (Corrected),6144.6961694528745
EBV-1-1,NTT-6N (Corrected),NTT-6N (Corrected),338.2715123036391
EBV-1-1,circ_ligase (Corrected),circ_ligase (Corrected),62184.58598562903
MIR-224-mmu,NTC (Corrected),NTC4 (Corrected),2672.7626464199748
MIR-224-mmu,NTC (Corrected),NTC5 (Corrected),3120.0662458442985
MIR-224-mmu,NTC (Corrected),NTC6 (Corrected),4148.587081395409
MIR-224-mmu,NTT (Corrected),NTT4 (Corrected),2237.916439861171
MIR-224-mmu,NTT (Corrected),NTT5 (Corrected),2898.867506571799
MIR-224-mmu,NTT (Corrected),NTT6 (Corrected),2141.01316679188
MIR-224-mmu,MTT (Corrected),MTT1 (Corrected),4944.960369313168
MIR-224-mmu,MTT (Corrected),MTT2 (Corrected),5396.9336400646025
MIR-224-mmu,MTT (Corrected),MTT3 (Corrected),5118.4633025086805
MIR-224-mmu,NTTR (Corrected),NTTR1 (Corrected),136633.77312439657
MIR-224-mmu,NTTR (Corrected),NTTR2 (Corrected),10086.990036280462
MIR-224-mmu,NTTR (Corrected),NTTR3 (Corrected),30698.88026018199
MIR-224-mmu,NTC (Corrected),NTC (Corrected),3283.2562014461632
MIR-224-mmu,NTT (Corrected),NTT (Corrected),2407.830192783549
MIR-224-mmu,MTT (Corrected),MTT (Corrected),5169.815366403846
MIR-224-mmu,NTTR (Corrected),NTTR (Corrected),41427.00872399196
MIR-224-mmu,NTT-6N (Corrected),NTT-6N (Corrected),1112.6616685689949
MIR-224-mmu,circ_ligase (Corrected),circ_ligase (Corrected),75909.00575384485
RLCV-1,NTC (Corrected),NTC4 (Corrected),341.3407717114666
RLCV-1,NTC (Corrected),NTC5 (Corrected),243.63237687952952
RLCV-1,NTC (Corrected),NTC6 (Corrected),486.7475817521694
RLCV-1,NTT (Corrected),NTT4 (Corrected),257.3374140292107
RLCV-1,NTT (Corrected),NTT5 (Corrected),130.33667859004993
RLCV-1,NTT (Corrected),NTT6 (Corrected),166.1130905269561
RLCV-1,MTT (Corrected),MTT1 (Corrected),439.4145009026719
RLCV-1,MTT (Corrected),MTT2 (Corrected),388.50432968374844
RLCV-1,MTT (Corrected),MTT3 (Corrected),615.0581417006313
RLCV-1,NTTR (Corrected),NTTR1 (Corrected),5793.501951544244
RLCV-1,NTTR (Corrected),NTTR2 (Corrected),749.8940915457824
RLCV-1,NTTR (Corrected),NTTR3 (Corrected),2210.2216893766667
RLCV-1,NTC (Corrected),NTC (Corrected),358.12970279317574
RLCV-1,NTT (Corrected),NTT (Corrected),182.83757305015263
RLCV-1,MTT (Corrected),MTT (Corrected),489.72043256114694
RLCV-1,NTTR (Corrected),NTTR (Corrected),2220.210247049386
RLCV-1,NTT-6N (Corrected),NTT-6N (Corrected),69.89080832719812
RLCV-1,circ_ligase (Corrected),circ_ligase (Corrected),57421.02516126459
EBV-1-2,NTC (Corrected),NTC4 (Corrected),2386.9508112451267
EBV-1-2,NTC (Corrected),NTC5 (Corrected),2269.881269004067
EBV-1-2,NTC (Corrected),NTC6 (Corrected),2104.5948671519445
EBV-1-2,NTT (Corrected),NTT4 (Corrected),2285.24259064862
EBV-1-2,NTT (Corrected),NTT5 (Corrected),2262.329710955057
EBV-1-2,NTT (Corrected),NTT6 (Corrected),1923.8007533973932
EBV-1-2,MTT (Corrected),MTT1 (Corrected),1654.5629216885798
EBV-1-2,MTT (Corrected),MTT2 (Corrected),1512.609687081927
EBV-1-2,MTT (Corrected),MTT3 (Corrected),1471.439497842556
EBV-1-2,NTTR (Corrected),NTTR1 (Corrected),432.1847765132854
EBV-1-2,NTTR (Corrected),NTTR2 (Corrected),992.8778814027254
EBV-1-2,NTTR (Corrected),NTTR3 (Corrected),243.43291387087353
EBV-1-2,NTC (Corrected),NTC (Corrected),2260.5197595577374
EBV-1-2,NTT (Corrected),NTT (Corrected),2140.3611888174783
EBV-1-2,MTT (Corrected),MTT (Corrected),1534.0982921176242
