id,NTT-6N,NTC4,NTC5,NTC6,NTT4,NTT5,NTT6,MTT1,MTT2,MTT3,NTTR1,NTTR2,NTTR3,circ_ligase
EBV-1-1,121,131,127,138,110,156,138,156,282,298,675,489,1742,12519.0
EBV-1-2,9506,10439,8135,7916,14007,14178,14679,7530,9102,9838,1101,6116,1123,4724.0
EBV-1-2-star,858,232,214,196,842,820,849,518,679,977,663,695,1676,428.0
EBV-1-3,1026,1313,1298,1445,1185,1270,1512,688,1152,1198,9746,580,9885,1803.0
EBV-1-3P,2084,1247,934,852,1178,1016,1493,2018,2367,3063,39512,7212,18478,630.0
EBV-1-5P,47245,47621,41697,46334,54211,58375,69368,43345,58207,68342,2423,16471,7326,1863.0
EBV-10,153,212,228,286,166,255,231,341,431,494,197,1140,923,29700.0
EBV-11-3P,4317,392,344,363,2081,2293,3133,1752,2279,2976,1259,1746,2994,8586.0
EBV-11-5P,45016,38839,31598,31666,37471,36950,40993,27912,35109,36738,230,11234,620,8626.0
EBV-12,2714,6846,5298,5444,7426,8096,8775,11982,14920,14164,10611,15155,5081,12832.0
EBV-13,7834,3409,2761,2752,2573,2863,3668,2079,2762,3023,345,4547,465,13043.0
EBV-14-3P,86,80,70,78,70,84,122,94,187,229,2676,368,7102,3467.0
EBV-14-5P,11467,10512,8822,8299,14243,13215,14574,6770,9803,11038,6320,7188,20361,9933.0
EBV-15,23351,18951,15595,17499,21039,22660,23733,15378,19560,19928,11933,16392,19236,7016.0
EBV-16,732,1175,950,1155,1579,1664,1928,1772,2768,2837,4306,4264,6500,386.0
EBV-17-3P,12853,5064,3626,3637,5361,5483,6383,5953,8475,10509,9363,36345,34623,14158.0
EBV-17-5P,4239,2235,1841,2498,2221,2211,3117,1480,2353,3194,417,1267,1680,2398.0
EBV-18-3P,1922,625,695,848,2958,3115,3141,1926,2864,3017,1753,1900,2346,6726.0
EBV-18-5P,9435,7386,6335,5978,9736,9008,9986,5515,7237,9510,1679,6459,6861,8512.0
EBV-19-3P,1094,1972,1433,1377,3199,3561,3685,2883,4166,3723,3574,7033,13966,1251.0
EBV-19-5P,8205,5509,4694,4775,6892,7023,8307,4380,6067,7808,840,2013,1616,6842.0
EBV-2-3P,6477,3987,2916,3104,3006,3465,4245,2068,2785,3201,2573,3002,3281,3405.0
EBV-2-5P,708,1063,826,832,1608,1444,1547,1368,1812,1820,7423,4052,22322,2807.0
EBV-20-3P,625,839,838,601,641,846,913,639,961,941,436,2869,2800,20440.0
EBV-20-5P,57064,11539,9287,7227,38789,37390,52414,26850,32858,41101,2891,49874,5925,3292.0
EBV-3-3P,1306,517,305,346,345,460,708,579,763,872,1746,3732,1278,17935.0
EBV-3-5P,471,454,379,418,495,531,689,600,759,781,820,1791,2684,1349.0
EBV-4,4526,3131,2809,3104,3540,3413,4411,3581,4668,5041,11727,19781,14218,23334.0
EBV-5,9227,4268,3448,3929,6308,6213,7679,4381,6195,8004,877,1856,2223,17413.0
EBV-6-3P,78933,14937,13612,15086,17579,17665,23919,13875,18624,22414,5389,30948,9548,17927.0
EBV-6-5P,12121,7705,6588,8363,11333,12172,13722,7206,11056,12532,1056,3094,3363,16133.0
EBV-7,7311,7144,6176,7083,8828,9948,11164,6796,10103,11732,1559,2328,3568,2075.0
EBV-8-3P,22733,16446,13016,15260,12447,14619,16833,9300,14156,14634,2424,15487,12879,11244.0
EBV-8-5P,25845,12494,9922,10302,17004,18138,19883,11089,14699,16223,1957,5480,5458,3536.0
EBV-9,614,870,687,883,1277,1054,1226,1247,1455,1699,2405,3098,4629,16515.0
HCMV-UL112,376,279,151,309,170,233,249,173,428,498,170,1397,2366,16254.0
HCMV-UL148D,208056,43934,39556,32507,90870,87151,104450,55916,69684,81121,6054,45537,14260,17798.0
HCMV-UL22A,1596,1291,905,1161,1703,1629,1765,977,1229,1516,451,1049,1421,7614.0
HCMV-UL22A-star,18658,18969,16048,14946,25476,26579,30632,16955,22524,26921,2636,6012,6389,1300.0
HCMV-UL36,65112,11943,8903,8994,15718,15793,25106,10823,14299,19775,1893,32478,16553,9406.0
HCMV-UL70-3P,89416,24998,20718,21781,31714,32051,42710,23398,33145,29749,4640,12979,6918,2635.0
HCMV-UL70-5P,20650,7465,6116,5904,9775,8981,11824,6129,8110,8289,3371,11174,6380,8931.0
HCMV-US25-1,651,210,229,253,577,676,821,410,565,666,180,488,813,11135.0
HCMV-US25-2-3P,12905,7512,7026,8581,13536,13569,13896,8193,13735,13798,2387,3937,6009,19081.0
HCMV-US25-2-5P,26735,14553,11498,13220,13021,13387,16597,10491,14626,15218,2695,14805,13937,10950.0
HCMV-US33-3P,2788,1348,899,1042,1752,1629,2316,1118,1573,2301,353,1411,1793,17162.0
HCMV-US33-5P,918,518,480,363,530,485,618,355,432,314,436,176,143,2339.0
HCMV-US4,313,112,90,175,91,90,117,256,246,328,279,1100,630,4301.0
HCMV-US5-1,1000,344,128,287,333,344,510,467,520,788,1519,3963,2324,19876.0
HCMV-US5-2,6495,3873,3026,3488,11866,12399,12360,8051,11530,10650,3794,6969,11283,2129.0
HIV1-H1,807,119,166,164,819,911,1094,391,766,702,263,532,271,3712.0
HIV1-N367,8454,7068,6271,6979,6013,6658,6750,4291,6045,6365,2872,3855,6181,3077.0
HSV1-H1,110957,34365,27281,31554,33274,37765,55399,30195,41699,47928,6021,32834,17867,15497.0
HSV1-LAT,1140,90,76,94,433,522,505,279,382,388,187,748,507,18855.0
KSHV-K12-1,2564,1243,1046,1540,3829,4197,4269,2709,4255,4953,1078,2488,4275,2039.0
KSHV-K12-10A,12477,1771,1444,1521,8075,7790,10422,6455,8315,10468,1843,8839,10107,579.0
KSHV-K12-10B,41592,3964,3198,3691,16367,17902,22804,13448,17461,21052,4330,24903,19245,2498.0
KSHV-K12-11,10938,10792,8724,9591,13875,13627,13076,7326,11067,12082,3937,8686,14243,5713.0
KSHV-K12-12,34420,18389,16841,14606,30436,29482,32613,17369,23905,26521,3915,6054,3738,27722.0
KSHV-K12-2,6555,4424,4002,4494,5985,6236,6370,3657,5153,5052,1581,1585,1944,15061.0
KSHV-K12-3,4604,3930,3390,3939,4261,4667,5271,2875,4393,5139,934,3209,5690,19296.0
KSHV-K12-3-star,819,231,105,178,296,261,356,244,325,351,53,470,225,1583.0
KSHV-K12-4-3P,14191,6785,4878,4995,6169,6206,9855,4771,6168,8481,957,8662,6058,17802.0
KSHV-K12-4-5P,91350,31305,25175,26839,39108,38422,54157,27647,37224,46485,5401,23003,11403,10614.0
KSHV-K12-5,119896,43690,39658,38960,64244,67899,90785,51367,70371,96624,3823,30579,24171,16588.0
KSHV-K12-6-3P,110868,46264,38696,42322,52961,57062,71566,46706,61020,62850,8771,30686,19443,7946.0
KSHV-K12-6-5P,48724,26970,23172,23319,37987,38268,48733,22907,32160,40931,5513,11403,7286,9541.0
KSHV-K12-7,6251,3346,2884,2737,4170,4541,5415,4908,6133,6002,7307,29029,17541,26213.0
KSHV-K12-8,25341,12103,10027,11258,12173,12448,19579,10788,15213,20206,889,7119,7119,20130.0
